Title,ISBN,Author,Rating,Date of publish,Category,user_id,LIKE,Comment
Emil and the Detectives,9781590205549,"Erich Kästner,Maurice Sendak",1.0,"January 1, 1929",Children,82,0,
The One Thing: The Surprisingly Simple Truth Behind Extraordinary Results,9781885167774,"Gary Keller,Jay Papasan",4.0,"January 1, 2012",Business,41,0,
A Universe from Nothing: Why There Is Something Rather Than Nothing,9781451624458,"Lawrence M. Krauss,Richard Dawkins",4.0,"January 10, 2012",Biology,462,0,A classic for a reason. Highly enjoyable.
Smoke Gets in Your Eyes & Other Lessons from the Crematory,9780393351903,Caitlin Doughty,4.0,"September 15, 2014",nonfiction,96,1,I would recommend this to fans of [genre].
Smoke Gets in Your Eyes & Other Lessons from the Crematory,9780393351903,Caitlin Doughty,,"September 15, 2014",nonfiction,98,1,A thought-provoking and insightful book.
Smoke Gets in Your Eyes & Other Lessons from the Crematory,9780393351903,Caitlin Doughty,4.0,"September 15, 2014",nonfiction,183,0,A quick and entertaining read.
Dry,9780312423797,Augusten Burroughs,4.0,"January 1, 2003",nonfiction,365,0,The pacing felt a bit off in the middle.
Wonders of Nature,9780942299908,"Jane Werner Watson,Eloise Wilkin",4.0,"January 1, 1957",Math,129,1,A classic for a reason. Highly enjoyable.
"Geekerella (Once Upon a Con, #1)",9781594749476,Ashley Poston,,"April 4, 2017",Cars,14,0,A classic for a reason. Highly enjoyable.
Utopia for Realists: How We Can Build the Ideal World,9780316471893,Rutger Bregman,4.0,"September 14, 2014",Economics,297,1,This book really made me think about [a theme].
"The Book Woman's Daughter (The Book Woman of Troublesome Creek, #2)",9781728242590,Kim Michele Richardson,4.0,"May 3, 2022",nonfiction,28,1,I would recommend this to fans of [genre].
Island of Sweet Pies and Soldiers,9780778319214,Sara  Ackerman,,"February 1, 2018",Math,390,0,I struggled to connect with the main character.
"Dear Ijeawele, or A Feminist Manifesto in Fifteen Suggestions",9780008241032,Chimamanda Ngozi Adichie,5.0,"March 7, 2017",Personal-Development,276,0,I found the writing style to be quite beautiful.
"Redeeming Zorus (Cyborg Seduction, #6)",9781419933943,Laurann Dohner,4.0,"April 20, 2011",Biology,187,1,
"When the Earth Was Green: Plants, Animals, and Evolution's Greatest Romance",9781250288998,Riley Black,4.0,"February 25, 2025",Math,215,1,A quick and entertaining read.
You Wish,9781595142924,Mandy Hubbard,,"July 29, 2010",Children,133,1,Disappointing after all the hype.
Where the Sidewalk Ends,9780060513030,Shel Silverstein,4.0,"January 1, 1974",Math,434,1,This book really made me think about [a theme].
The Life of Senna,9780954685737,Tom Rubython,2.0,"May 1, 2004",Cars,114,0,A thought-provoking and insightful book.
"Daemon (Daemon, #1)",9780525951117,Daniel Suarez,,"December 1, 2006",Artificial-Intelligence,96,0,A quick and entertaining read.
Mathematics and Its History (Undergraduate Texts in Mathematics),9781441960528,John Stillwell,4.0,"May 1, 1997",Computer-Science,58,0,The world-building in this fantasy novel is incredible.
Mathematics and Its History (Undergraduate Texts in Mathematics),9781441960528,John Stillwell,4.0,"May 1, 1997",Computer-Science,175,0,
The Time Traveler's Guide to Medieval England: A Handbook for Visitors to the Fourteenth Century,9781439112892,Ian Mortimer,3.0,"October 2, 2008",Technology,169,0,"Not what I expected, but in a good way!"
The Time Traveler's Guide to Medieval England: A Handbook for Visitors to the Fourteenth Century,9781439112892,Ian Mortimer,4.0,"October 2, 2008",Technology,199,1,This book really made me think about [a theme].
