ISBN,user_id,isbn_numeric,LIKE,Click
9781590205549,82,9781590205549,0.0,0.0
9781885167774,41,9781885167774,0.0,1.0
9781451624458,462,9781451624458,0.0,1.0
9780393351903,96,9780393351903,1.0,1.0
9780393351903,98,9780393351903,1.0,0.0
9780393351903,183,9780393351903,0.0,0.0
9780312423797,365,9780312423797,0.0,1.0
9780942299908,129,9780942299908,1.0,0.0
9781594749476,14,9781594749476,0.0,1.0
9780316471893,297,9780316471893,1.0,1.0
9781728242590,28,9781728242590,1.0,0.0
9780778319214,390,9780778319214,0.0,0.0
9780008241032,276,9780008241032,0.0,0.0
9781419933943,187,9781419933943,1.0,1.0
9781250288998,215,9781250288998,1.0,1.0
9781595142924,133,9781595142924,1.0,0.0
9780060513030,434,9780060513030,1.0,1.0
9780954685737,114,9780954685737,0.0,0.0
9780525951117,96,9780525951117,0.0,0.0
9781441960528,58,9781441960528,0.0,1.0
9781441960528,175,9781441960528,0.0,0.0
9781439112892,169,9781439112892,0.0,1.0
9781439112892,199,9781439112892,1.0,0.0
9780691127095,71,9780691127095,0.0,0.0
9780062413406,440,9780062413406,0.0,1.0
9780134692883,467,9780134692883,0.0,0.0
9780393352177,84,9780393352177,1.0,1.0
9781402779190,468,9781402779190,1.0,0.0
9781429963367,53,9781429963367,1.0,1.0
9781429963367,482,9781429963367,1.0,1.0
9781594489990,261,9781594489990,1.0,1.0
9780060885373,154,9780060885373,0.0,0.0
9780679764410,51,9780679764410,1.0,1.0
9781563899294,243,9781563899294,0.0,0.0
9780385753173,35,9780385753173,0.0,1.0
9780385753173,438,9780385753173,1.0,0.0
9780152050849,321,9780152050849,1.0,0.0
9780975841969,128,9780975841969,0.0,1.0
9780321146533,267,9780321146533,0.0,1.0
9780393356588,14,9780393356588,1.0,0.0
9798863458434,284,9798863458434,1.0,1.0
9781419956621,292,9781419956621,0.0,1.0
9781419956621,329,9781419956621,0.0,0.0
9780061236099,106,9780061236099,0.0,1.0
9780836217698,243,9780836217698,0.0,1.0
9781501111105,218,9781501111105,1.0,1.0
9780441020010,136,9780441020010,1.0,1.0
9780062224071,195,9780062224071,1.0,1.0
9780316445122,375,9780316445122,1.0,1.0
9789881841940,236,9789881841940,1.0,1.0
9781292039329,178,9781292039329,0.0,0.0
9781292039329,414,9781292039329,0.0,1.0
9780857551290,40,9780857551290,1.0,1.0
9781940450285,87,9781940450285,1.0,0.0
9780553572391,113,9780553572391,1.0,0.0
9780553572391,239,9780553572391,0.0,1.0
9781416927068,334,9781416927068,0.0,0.0
9781492666875,321,9781492666875,1.0,1.0
9781504030267,156,9781504030267,0.0,0.0
9781603708821,473,9781603708821,1.0,1.0
9780756402723,448,9780756402723,1.0,0.0
9781250266774,218,9781250266774,1.0,1.0
9781250266774,398,9781250266774,0.0,0.0
9781594201202,182,9781594201202,0.0,0.0
9781449390419,337,9781449390419,1.0,1.0
9781585426010,288,9781585426010,0.0,1.0
9781250280084,209,9781250280084,0.0,0.0
9781250280084,242,9781250280084,0.0,1.0
9781250280084,256,9781250280084,0.0,0.0
9780307440853,376,9780307440853,0.0,1.0
9783030169190,304,9783030169190,0.0,1.0
9783030169190,377,9783030169190,1.0,1.0
9780948248689,87,9780948248689,1.0,1.0
9780948248689,473,9780948248689,0.0,1.0
9780062484963,369,9780062484963,1.0,0.0
9780062936011,392,9780062936011,1.0,0.0
9781649530356,221,9781649530356,0.0,1.0
9780590503907,78,9780590503907,0.0,0.0
9781591166849,38,9781591166849,1.0,1.0
9780340606513,348,9780340606513,0.0,0.0
9781932866506,100,9781932866506,0.0,0.0
9780060086527,38,9780060086527,0.0,1.0
9780756406172,36,9780756406172,1.0,0.0
9781942562023,275,9781942562023,0.0,0.0
9781328662057,414,9781328662057,0.0,1.0
9781800192058,227,9781800192058,1.0,1.0
9781736170472,322,9781736170472,0.0,1.0
9781647425203,309,9781647425203,0.0,0.0
9780785260943,73,9780785260943,0.0,1.0
9780312341916,58,9780312341916,0.0,0.0
9780312341916,280,9780312341916,0.0,0.0
9780316465182,363,9780316465182,1.0,0.0
9780385350679,365,9780385350679,1.0,1.0
9781787132115,495,9781787132115,1.0,1.0
9780689801297,8,9780689801297,1.0,1.0
9780689801297,151,9780689801297,0.0,1.0
9780689801297,165,9780689801297,0.0,1.0
9780689801297,468,9780689801297,0.0,0.0
9780590317771,410,9780590317771,1.0,1.0
9780995460409,111,9780995460409,1.0,1.0
9780995460409,120,9780995460409,0.0,0.0
9781480258297,212,9781480258297,1.0,0.0
9780749083472,62,9780749083472,1.0,0.0
9780749083472,282,9780749083472,1.0,0.0
9780393316001,6,9780393316001,0.0,0.0
9781421530772,125,9781421530772,0.0,0.0
9781421530772,150,9781421530772,0.0,1.0
9780124059160,170,9780124059160,1.0,1.0
9780124059160,177,9780124059160,1.0,0.0
9781645241720,212,9781645241720,0.0,0.0
9781645241720,236,9781645241720,1.0,0.0
9781645241720,425,9781645241720,0.0,0.0
9780465026562,370,9780465026562,0.0,0.0
9780451219930,243,9780451219930,1.0,1.0
9780312381882,26,9780312381882,1.0,0.0
9781402547720,297,9781402547720,1.0,1.0
9781402547720,430,9781402547720,1.0,1.0
9781491952023,349,9781491952023,0.0,0.0
9780684802039,124,9780684802039,1.0,0.0
9780684802039,458,9780684802039,1.0,0.0
9780147515421,141,9780147515421,1.0,0.0
9780147515421,209,9780147515421,0.0,0.0
9780670034574,32,9780670034574,1.0,1.0
9780375867088,21,9780375867088,1.0,0.0
9781501147760,72,9781501147760,1.0,0.0
9781501147760,222,9781501147760,0.0,1.0
9780521796705,107,9780521796705,0.0,0.0
9780521796705,381,9780521796705,0.0,0.0
9781550749489,194,9781550749489,0.0,0.0
9781550749489,366,9781550749489,0.0,1.0
9780375969515,444,9780375969515,1.0,1.0
9781589880887,122,9781589880887,0.0,0.0
9781620405468,423,9781620405468,1.0,1.0
9781628725674,2,9781628725674,1.0,0.0
9781628725674,9,9781628725674,0.0,1.0
9781538716625,287,9781538716625,1.0,1.0
9781538716625,468,9781538716625,0.0,0.0
9780451180841,346,9780451180841,0.0,1.0
9781491946008,361,9781491946008,0.0,0.0
9781491946008,362,9781491946008,0.0,1.0
9781534461222,127,9781534461222,1.0,1.0
9781534461222,456,9781534461222,1.0,1.0
9781508839880,179,9781508839880,1.0,0.0
9781508839880,201,9781508839880,1.0,0.0
9781508839880,214,9781508839880,1.0,0.0
